sk_diag;cid;descricao_cid;categoria_cid
141;A929;CID A929;Doenças infecciosas e parasitárias
142;O48;CID O48;Gravidez, parto e puerpério
143;O141;CID O141;Gravidez, parto e puerpério
144;I48;CID I48;Doenças do aparelho circulatório
145;E119;CID E119;Doenças endócrinas e metabólicas
146;C182;CID C182;Neoplasias
147;C539;CID C539;Neoplasias
148;T818;CID T818;Lesões e causas externas
149;K760;CID K760;Doenças do aparelho digestivo
150;T028;CID T028;Lesões e causas externas
151;C56;CID C56;Neoplasias
152;S060;CID S060;Lesões e causas externas
153;C16;CID C16;Neoplasias
154;L031;CID L031;Doenças da pele
155;I82;CID I82;Doenças do aparelho circulatório
156;D508;CID D508;Neoplasias / Doenças do sangue
157;F929;CID F929;Transtornos mentais e comportamentais
158;E108;CID E108;Doenças endócrinas e metabólicas
159;J440;CID J440;Doenças do aparelho respiratório
160;J690;CID J690;Doenças do aparelho respiratório
161;H678;CID H678;Doenças dos olhos / ouvidos
162;K590;CID K590;Doenças do aparelho digestivo
163;S373;CID S373;Lesões e causas externas
164;J90;CID J90;Doenças do aparelho respiratório
165;O429;CID O429;Gravidez, parto e puerpério
166;S880;CID S880;Lesões e causas externas
167;K870;CID K870;Doenças do aparelho digestivo
168;T111;CID T111;Lesões e causas externas
169;B92;CID B92;Doenças infecciosas e parasitárias
170;S520;CID S520;Lesões e causas externas
171;J449;CID J449;Doenças do aparelho respiratório
172;J441;CID J441;Doenças do aparelho respiratório
173;O42;CID O42;Gravidez, parto e puerpério
174;I638;CID I638;Doenças do aparelho circulatório
175;A09;CID A09;Doenças infecciosas e parasitárias
176;P369;CID P369;Afecções perinatais
177;Q100;CID Q100;Malformações congênitas
178;R51;CID R51;Sintomas e sinais anormais
179;O809;CID O809;Gravidez, parto e puerpério
180;E148;CID E148;Doenças endócrinas e metabólicas
181;A46;CID A46;Doenças infecciosas e parasitárias
182;D649;CID D649;Neoplasias / Doenças do sangue
183;M545;CID M545;Doenças do sistema osteomuscular
184;J36;CID J36;Doenças do aparelho respiratório
185;O149;CID O149;Gravidez, parto e puerpério
186;S729;CID S729;Lesões e causas externas
187;D500;CID D500;Neoplasias / Doenças do sangue
188;T813;CID T813;Lesões e causas externas
189;Z478;CID Z478;Fatores que influenciam o estado de saúde
190;S525;CID S525;Lesões e causas externas
191;S960;CID S960;Lesões e causas externas
192;S825;CID S825;Lesões e causas externas
193;S626;CID S626;Lesões e causas externas
194;S423;CID S423;Lesões e causas externas
195;S826;CID S826;Lesões e causas externas
196;S823;CID S823;Lesões e causas externas
197;S829;CID S829;Lesões e causas externas
198;S828;CID S828;Lesões e causas externas
199;S930;CID S930;Lesões e causas externas
200;S720;CID S720;Lesões e causas externas
201;N180;CID N180;Doenças do aparelho geniturinário
202;I500;CID I500;Doenças do aparelho circulatório
203;T633;CID T633;Lesões e causas externas
204;B342;CID B342;Doenças infecciosas e parasitárias
205;K801;CID K801;Doenças do aparelho digestivo
206;K319;CID K319;Doenças do aparelho digestivo
207;O234;CID O234;Gravidez, parto e puerpério
208;T136;CID T136;Lesões e causas externas
209;K804;CID K804;Doenças do aparelho digestivo
210;K359;CID K359;Doenças do aparelho digestivo
211;S669;CID S669;Lesões e causas externas
212;N151;CID N151;Doenças do aparelho geniturinário
213;I843;CID I843;Doenças do aparelho circulatório
214;S06;CID S06;Lesões e causas externas
215;I619;CID I619;Doenças do aparelho circulatório
216;C348;CID C348;Neoplasias
217;C509;CID C509;Neoplasias
218;K820;CID K820;Doenças do aparelho digestivo
219;R31;CID R31;Sintomas e sinais anormais
220;I471;CID I471;Doenças do aparelho circulatório
221;K928;CID K928;Doenças do aparelho digestivo
222;T889;CID T889;Lesões e causas externas
223;J984;CID J984;Doenças do aparelho respiratório
224;I409;CID I409;Doenças do aparelho circulatório
225;G308;CID G308;Doenças do sistema nervoso
226;I612;CID I612;Doenças do aparelho circulatório
227;J158;CID J158;Doenças do aparelho respiratório
228;C922;CID C922;Neoplasias
229;J960;CID J960;Doenças do aparelho respiratório
230;T509;CID T509;Lesões e causas externas
231;N433;CID N433;Doenças do aparelho geniturinário
232;T519;CID T519;Lesões e causas externas
233;C329;CID C329;Neoplasias
234;G404;CID G404;Doenças do sistema nervoso
235;C530;CID C530;Neoplasias
236;N872;CID N872;Doenças do aparelho geniturinário
237;K565;CID K565;Doenças do aparelho digestivo
238;I251;CID I251;Doenças do aparelho circulatório
239;C54;CID C54;Neoplasias
240;C498;CID C498;Neoplasias
241;N63;CID N63;Doenças do aparelho geniturinário
242;N648;CID N648;Doenças do aparelho geniturinário
243;J353;CID J353;Doenças do aparelho respiratório
244;C508;CID C508;Neoplasias
245;C538;CID C538;Neoplasias
246;K861;CID K861;Doenças do aparelho digestivo
247;L038;CID L038;Doenças da pele
248;I211;CID I211;Doenças do aparelho circulatório
249;K528;CID K528;Doenças do aparelho digestivo
250;D759;CID D759;Neoplasias / Doenças do sangue
251;A289;CID A289;Doenças infecciosas e parasitárias
252;N110;CID N110;Doenças do aparelho geniturinário
253;H653;CID H653;Doenças dos olhos / ouvidos
254;J40;CID J40;Doenças do aparelho respiratório
255;J100;CID J100;Doenças do aparelho respiratório
256;D77;CID D77;Neoplasias / Doenças do sangue
257;E728;CID E728;Doenças endócrinas e metabólicas
258;R571;CID R571;Sintomas e sinais anormais
259;J848;CID J848;Doenças do aparelho respiratório
260;C161;CID C161;Neoplasias
261;F059;CID F059;Transtornos mentais e comportamentais
262;F322;CID F322;Transtornos mentais e comportamentais
263;F318;CID F318;Transtornos mentais e comportamentais
264;F101;CID F101;Transtornos mentais e comportamentais
265;K409;CID K409;Doenças do aparelho digestivo
266;M256;CID M256;Doenças do sistema osteomuscular
267;S022;CID S022;Lesões e causas externas
268;S929;CID S929;Lesões e causas externas
269;T817;CID T817;Lesões e causas externas
270;G560;CID G560;Doenças do sistema nervoso
271;S531;CID S531;Lesões e causas externas
272;B338;CID B338;Doenças infecciosas e parasitárias
273;N179;CID N179;Doenças do aparelho geniturinário
274;R570;CID R570;Sintomas e sinais anormais
275;F411;CID F411;Transtornos mentais e comportamentais
276;R33;CID R33;Sintomas e sinais anormais
277;S420;CID S420;Lesões e causas externas
278;G409;CID G409;Doenças do sistema nervoso
279;I441;CID I441;Doenças do aparelho circulatório
280;F410;CID F410;Transtornos mentais e comportamentais
281;C17;CID C17;Neoplasias
282;N39;CID N39;Doenças do aparelho geniturinário
283;C901;CID C901;Neoplasias
