sk_diag;cid;descricao_cid;categoria_cid
622;I209;CID I209;Doenças do aparelho circulatório
623;I49;CID I49;Doenças do aparelho circulatório
624;G45;CID G45;Doenças do sistema nervoso
625;A41;CID A41;Doenças infecciosas e parasitárias
626;S827;CID S827;Lesões e causas externas
627;G700;CID G700;Doenças do sistema nervoso
628;C343;CID C343;Neoplasias
629;S831;CID S831;Lesões e causas externas
630;S625;CID S625;Lesões e causas externas
631;I249;CID I249;Doenças do aparelho circulatório
632;K610;CID K610;Doenças do aparelho digestivo
633;K439;CID K439;Doenças do aparelho digestivo
634;N119;CID N119;Doenças do aparelho geniturinário
635;C229;CID C229;Neoplasias
636;D509;CID D509;Neoplasias / Doenças do sangue
637;K742;CID K742;Doenças do aparelho digestivo
638;K561;CID K561;Doenças do aparelho digestivo
639;E86;CID E86;Doenças endócrinas e metabólicas
640;G412;CID G412;Doenças do sistema nervoso
641;O030;CID O030;Gravidez, parto e puerpério
642;O681;CID O681;Gravidez, parto e puerpério
643;O343;CID O343;Gravidez, parto e puerpério
644;B348;CID B348;Doenças infecciosas e parasitárias
645;B004;CID B004;Doenças infecciosas e parasitárias
646;C73;CID C73;Neoplasias
647;F192;CID F192;Transtornos mentais e comportamentais
648;S619;CID S619;Lesões e causas externas
649;F316;CID F316;Transtornos mentais e comportamentais
650;F209;CID F209;Transtornos mentais e comportamentais
651;E872;CID E872;Doenças endócrinas e metabólicas
652;I618;CID I618;Doenças do aparelho circulatório
653;S670;CID S670;Lesões e causas externas
654;L508;CID L508;Doenças da pele
655;E43;CID E43;Doenças endócrinas e metabólicas
656;N999;CID N999;Doenças do aparelho geniturinário
657;T911;CID T911;Lesões e causas externas
658;S524;CID S524;Lesões e causas externas
659;P582;CID P582;Afecções perinatais
660;I248;CID I248;Doenças do aparelho circulatório
661;K315;CID K315;Doenças do aparelho digestivo
662;K402;CID K402;Doenças do aparelho digestivo
663;I250;CID I250;Doenças do aparelho circulatório
664;P371;CID P371;Afecções perinatais
665;K388;CID K388;Doenças do aparelho digestivo
666;S360;CID S360;Lesões e causas externas
667;S666;CID S666;Lesões e causas externas
668;S860;CID S860;Lesões e causas externas
669;S931;CID S931;Lesões e causas externas
670;C49;CID C49;Neoplasias
671;M169;CID M169;Doenças do sistema osteomuscular
672;I629;CID I629;Doenças do aparelho circulatório
673;I259;CID I259;Doenças do aparelho circulatório
674;Q638;CID Q638;Malformações congênitas
675;G809;CID G809;Doenças do sistema nervoso
676;D165;CID D165;Neoplasias / Doenças do sangue
677;Z429;CID Z429;Fatores que influenciam o estado de saúde
678;L905;CID L905;Doenças da pele
679;I420;CID I420;Doenças do aparelho circulatório
680;R521;CID R521;Sintomas e sinais anormais
681;D648;CID D648;Neoplasias / Doenças do sangue
682;I610;CID I610;Doenças do aparelho circulatório
683;N23;CID N23;Doenças do aparelho geniturinário
684;C921;CID C921;Neoplasias
685;C929;CID C929;Neoplasias
686;I269;CID I269;Doenças do aparelho circulatório
687;C169;CID C169;Neoplasias
688;A198;CID A198;Doenças infecciosas e parasitárias
689;C250;CID C250;Neoplasias
690;C900;CID C900;Neoplasias
691;C880;CID C880;Neoplasias
692;K904;CID K904;Doenças do aparelho digestivo
693;A488;CID A488;Doenças infecciosas e parasitárias
694;N300;CID N300;Doenças do aparelho geniturinário
695;O820;CID O820;Gravidez, parto e puerpério
696;O040;CID O040;Gravidez, parto e puerpério
697;J030;CID J030;Doenças do aparelho respiratório
698;K251;CID K251;Doenças do aparelho digestivo
699;D25;CID D25;Neoplasias / Doenças do sangue
700;Z433;CID Z433;Fatores que influenciam o estado de saúde
701;S52;CID S52;Lesões e causas externas
702;M544;CID M544;Doenças do sistema osteomuscular
703;S005;CID S005;Lesões e causas externas
704;Q758;CID Q758;Malformações congênitas
705;S02;CID S02;Lesões e causas externas
706;T243;CID T243;Lesões e causas externas
707;T141;CID T141;Lesões e causas externas
708;T222;CID T222;Lesões e causas externas
709;D16;CID D16;Neoplasias / Doenças do sangue
710;I690;CID I690;Doenças do aparelho circulatório
711;I348;CID I348;Doenças do aparelho circulatório
712;C02;CID C02;Neoplasias
713;K55;CID K55;Doenças do aparelho digestivo
714;K921;CID K921;Doenças do aparelho digestivo
715;O410;CID O410;Gravidez, parto e puerpério
716;O440;CID O440;Gravidez, parto e puerpério
717;E105;CID E105;Doenças endócrinas e metabólicas
718;O14;CID O14;Gravidez, parto e puerpério
719;O369;CID O369;Gravidez, parto e puerpério
720;O68;CID O68;Gravidez, parto e puerpério
721;O140;CID O140;Gravidez, parto e puerpério
722;S062;CID S062;Lesões e causas externas
723;J931;CID J931;Doenças do aparelho respiratório
724;L02;CID L02;Doenças da pele
725;T172;CID T172;Lesões e causas externas
726;N719;CID N719;Doenças do aparelho geniturinário
727;K851;CID K851;Doenças do aparelho digestivo
728;F332;CID F332;Transtornos mentais e comportamentais
729;O159;CID O159;Gravidez, parto e puerpério
730;J938;CID J938;Doenças do aparelho respiratório
731;K746;CID K746;Doenças do aparelho digestivo
732;J219;CID J219;Doenças do aparelho respiratório
733;Z762;CID Z762;Fatores que influenciam o estado de saúde
734;G450;CID G450;Doenças do sistema nervoso
735;N510;CID N510;Doenças do aparelho geniturinário
736;K529;CID K529;Doenças do aparelho digestivo
737;J209;CID J209;Doenças do aparelho respiratório
738;B268;CID B268;Doenças infecciosas e parasitárias
739;T659;CID T659;Lesões e causas externas
740;O900;CID O900;Gravidez, parto e puerpério
741;N814;CID N814;Doenças do aparelho geniturinário
742;O688;CID O688;Gravidez, parto e puerpério
743;O664;CID O664;Gravidez, parto e puerpério
744;O610;CID O610;Gravidez, parto e puerpério
745;O210;CID O210;Gravidez, parto e puerpério
746;S927;CID S927;Lesões e causas externas
747;S924;CID S924;Lesões e causas externas
748;N211;CID N211;Doenças do aparelho geniturinário
749;I615;CID I615;Doenças do aparelho circulatório
750;L89;CID L89;Doenças da pele
751;K623;CID K623;Doenças do aparelho digestivo
752;R100;CID R100;Sintomas e sinais anormais
753;S272;CID S272;Lesões e causas externas
754;I620;CID I620;Doenças do aparelho circulatório
755;N210;CID N210;Doenças do aparelho geniturinário
756;D400;CID D400;Neoplasias / Doenças do sangue
757;S933;CID S933;Lesões e causas externas
758;O365;CID O365;Gravidez, parto e puerpério
759;O981;CID O981;Gravidez, parto e puerpério
760;O102;CID O102;Gravidez, parto e puerpério
761;S617;CID S617;Lesões e causas externas
762;L030;CID L030;Doenças da pele
763;H189;CID H189;Doenças dos olhos / ouvidos
764;S063;CID S063;Lesões e causas externas
765;G918;CID G918;Doenças do sistema nervoso
766;C401;CID C401;Neoplasias
767;C20;CID C20;Neoplasias
768;Q180;CID Q180;Malformações congênitas
769;M217;CID M217;Doenças do sistema osteomuscular
770;C501;CID C501;Neoplasias
771;M234;CID M234;Doenças do sistema osteomuscular
772;H188;CID H188;Doenças dos olhos / ouvidos
773;S059;CID S059;Lesões e causas externas
774;C409;CID C409;Neoplasias
775;K914;CID K914;Doenças do aparelho digestivo
776;A300;CID A300;Doenças infecciosas e parasitárias
777;S361;CID S361;Lesões e causas externas
778;C399;CID C399;Neoplasias
779;B550;CID B550;Doenças infecciosas e parasitárias
780;A448;CID A448;Doenças infecciosas e parasitárias
781;I711;CID I711;Doenças do aparelho circulatório
782;A418;CID A418;Doenças infecciosas e parasitárias
783;E106;CID E106;Doenças endócrinas e metabólicas
784;N219;CID N219;Doenças do aparelho geniturinário
785;C188;CID C188;Neoplasias
786;G407;CID G407;Doenças do sistema nervoso
787;O709;CID O709;Gravidez, parto e puerpério
788;I440;CID I440;Doenças do aparelho circulatório
789;C186;CID C186;Neoplasias
790;C10;CID C10;Neoplasias
791;N20;CID N20;Doenças do aparelho geniturinário
792;S750;CID S750;Lesões e causas externas
793;T16;CID T16;Lesões e causas externas
794;N288;CID N288;Doenças do aparelho geniturinário
795;C172;CID C172;Neoplasias
796;S131;CID S131;Lesões e causas externas
797;C90;CID C90;Neoplasias
798;S299;CID S299;Lesões e causas externas
799;K850;CID K850;Doenças do aparelho digestivo
800;N45;CID N45;Doenças do aparelho geniturinário
801;M546;CID M546;Doenças do sistema osteomuscular
802;C58;CID C58;Neoplasias
803;S320;CID S320;Lesões e causas externas
804;I212;CID I212;Doenças do aparelho circulatório
805;T292;CID T292;Lesões e causas externas
806;F31;CID F31;Transtornos mentais e comportamentais
807;F20;CID F20;Transtornos mentais e comportamentais
808;O420;CID O420;Gravidez, parto e puerpério
809;E116;CID E116;Doenças endócrinas e metabólicas
810;S889;CID S889;Lesões e causas externas
811;S025;CID S025;Lesões e causas externas
812;D599;CID D599;Neoplasias / Doenças do sangue
813;R030;CID R030;Sintomas e sinais anormais
814;F229;CID F229;Transtornos mentais e comportamentais
815;T010;CID T010;Lesões e causas externas
816;L910;CID L910;Doenças da pele
817;H445;CID H445;Doenças dos olhos / ouvidos
818;Z93;CID Z93;Fatores que influenciam o estado de saúde
819;S620;CID S620;Lesões e causas externas
820;Z470;CID Z470;Fatores que influenciam o estado de saúde
821;S921;CID S921;Lesões e causas externas
822;O054;CID O054;Gravidez, parto e puerpério
823;O16;CID O16;Gravidez, parto e puerpério
824;B227;CID B227;Doenças infecciosas e parasitárias
825;A153;CID A153;Doenças infecciosas e parasitárias
826;A009;CID A009;Doenças infecciosas e parasitárias
827;E135;CID E135;Doenças endócrinas e metabólicas
828;K410;CID K410;Doenças do aparelho digestivo
829;M869;CID M869;Doenças do sistema osteomuscular
830;C480;CID C480;Neoplasias
831;P298;CID P298;Afecções perinatais
832;O329;CID O329;Gravidez, parto e puerpério
833;N74;CID N74;Doenças do aparelho geniturinário
834;R85;CID R85;Sintomas e sinais anormais
835;L021;CID L021;Doenças da pele
836;C01;CID C01;Neoplasias
837;T018;CID T018;Lesões e causas externas
838;S718;CID S718;Lesões e causas externas
839;T824;CID T824;Lesões e causas externas
840;H40;CID H40;Doenças dos olhos / ouvidos
841;L998;CID L998;Doenças da pele
842;N49;CID N49;Doenças do aparelho geniturinário
843;A398;CID A398;Doenças infecciosas e parasitárias
844;S869;CID S869;Lesões e causas externas
845;K518;CID K518;Doenças do aparelho digestivo
846;H651;CID H651;Doenças dos olhos / ouvidos
847;O868;CID O868;Gravidez, parto e puerpério
848;O208;CID O208;Gravidez, parto e puerpério
849;E669;CID E669;Doenças endócrinas e metabólicas
850;N812;CID N812;Doenças do aparelho geniturinário
851;K833;CID K833;Doenças do aparelho digestivo
852;I70;CID I70;Doenças do aparelho circulatório
853;S728;CID S728;Lesões e causas externas
854;N13;CID N13;Doenças do aparelho geniturinário
855;T303;CID T303;Lesões e causas externas
856;C715;CID C715;Neoplasias
857;C82;CID C82;Neoplasias
858;K639;CID K639;Doenças do aparelho digestivo
859;N18;CID N18;Doenças do aparelho geniturinário
860;K052;CID K052;Doenças do aparelho digestivo
861;I63;CID I63;Doenças do aparelho circulatório
862;M321;CID M321;Doenças do sistema osteomuscular
863;F321;CID F321;Transtornos mentais e comportamentais
864;F19;CID F19;Transtornos mentais e comportamentais
865;F310;CID F310;Transtornos mentais e comportamentais
866;N739;CID N739;Doenças do aparelho geniturinário
867;E107;CID E107;Doenças endócrinas e metabólicas
868;J150;CID J150;Doenças do aparelho respiratório
869;I470;CID I470;Doenças do aparelho circulatório
870;A168;CID A168;Doenças infecciosas e parasitárias
871;A309;CID A309;Doenças infecciosas e parasitárias
872;B161;CID B161;Doenças infecciosas e parasitárias
873;I700;CID I700;Doenças do aparelho circulatório
874;M431;CID M431;Doenças do sistema osteomuscular
875;C19;CID C19;Neoplasias
876;I671;CID I671;Doenças do aparelho circulatório
877;I710;CID I710;Doenças do aparelho circulatório
878;C160;CID C160;Neoplasias
879;N44;CID N44;Doenças do aparelho geniturinário
880;I731;CID I731;Doenças do aparelho circulatório
881;I443;CID I443;Doenças do aparelho circulatório
882;T950;CID T950;Lesões e causas externas
883;Q370;CID Q370;Malformações congênitas
884;Z528;CID Z528;Fatores que influenciam o estado de saúde
885;C785;CID C785;Neoplasias
886;I229;CID I229;Doenças do aparelho circulatório
887;G458;CID G458;Doenças do sistema nervoso
888;A318;CID A318;Doenças infecciosas e parasitárias
889;I460;CID I460;Doenças do aparelho circulatório
890;A179;CID A179;Doenças infecciosas e parasitárias
891;E237;CID E237;Doenças endócrinas e metabólicas
892;K440;CID K440;Doenças do aparelho digestivo
893;H603;CID H603;Doenças dos olhos / ouvidos
894;R208;CID R208;Sintomas e sinais anormais
895;O690;CID O690;Gravidez, parto e puerpério
896;A048;CID A048;Doenças infecciosas e parasitárias
897;T845;CID T845;Lesões e causas externas
898;O912;CID O912;Gravidez, parto e puerpério
899;N492;CID N492;Doenças do aparelho geniturinário
900;G910;CID G910;Doenças do sistema nervoso
901;S278;CID S278;Lesões e causas externas
902;I469;CID I469;Doenças do aparelho circulatório
903;C32;CID C32;Neoplasias
904;C22;CID C22;Neoplasias
905;K70;CID K70;Doenças do aparelho digestivo
906;I158;CID I158;Doenças do aparelho circulatório
907;T542;CID T542;Lesões e causas externas
908;A028;CID A028;Doenças infecciosas e parasitárias
909;O057;CID O057;Gravidez, parto e puerpério
910;S313;CID S313;Lesões e causas externas
911;K389;CID K389;Doenças do aparelho digestivo
912;O441;CID O441;Gravidez, parto e puerpério
913;I702;CID I702;Doenças do aparelho circulatório
914;S364;CID S364;Lesões e causas externas
915;B589;CID B589;Doenças infecciosas e parasitárias
916;C153;CID C153;Neoplasias
917;K831;CID K831;Doenças do aparelho digestivo
918;K460;CID K460;Doenças do aparelho digestivo
919;T223;CID T223;Lesões e causas externas
920;M510;CID M510;Doenças do sistema osteomuscular
921;C251;CID C251;Neoplasias
922;C600;CID C600;Neoplasias
923;C020;CID C020;Neoplasias
924;N432;CID N432;Doenças do aparelho geniturinário
925;T930;CID T930;Lesões e causas externas
926;S203;CID S203;Lesões e causas externas
927;O864;CID O864;Gravidez, parto e puerpério
928;O902;CID O902;Gravidez, parto e puerpério
929;A490;CID A490;Doenças infecciosas e parasitárias
930;P969;CID P969;Afecções perinatais
931;B86;CID B86;Doenças infecciosas e parasitárias
932;S311;CID S311;Lesões e causas externas
933;S220;CID S220;Lesões e causas externas
934;C151;CID C151;Neoplasias
935;K404;CID K404;Doenças do aparelho digestivo
936;Q531;CID Q531;Malformações congênitas
937;P211;CID P211;Afecções perinatais
938;N481;CID N481;Doenças do aparelho geniturinário
939;I220;CID I220;Doenças do aparelho circulatório
940;I342;CID I342;Doenças do aparelho circulatório
941;C540;CID C540;Neoplasias
942;Q548;CID Q548;Malformações congênitas
943;O359;CID O359;Gravidez, parto e puerpério
944;P081;CID P081;Afecções perinatais
945;O901;CID O901;Gravidez, parto e puerpério
946;J985;CID J985;Doenças do aparelho respiratório
947;O230;CID O230;Gravidez, parto e puerpério
948;O419;CID O419;Gravidez, parto e puerpério
949;O731;CID O731;Gravidez, parto e puerpério
950;Q899;CID Q899;Malformações congênitas
951;T635;CID T635;Lesões e causas externas
952;A159;CID A159;Doenças infecciosas e parasitárias
953;K350;CID K350;Doenças do aparelho digestivo
954;M925;CID M925;Doenças do sistema osteomuscular
955;Q688;CID Q688;Malformações congênitas
956;S680;CID S680;Lesões e causas externas
957;H020;CID H020;Doenças dos olhos / ouvidos
958;Q650;CID Q650;Malformações congênitas
959;Q667;CID Q667;Malformações congênitas
960;D390;CID D390;Neoplasias / Doenças do sangue
961;L92;CID L92;Doenças da pele
962;S324;CID S324;Lesões e causas externas
963;S277;CID S277;Lesões e causas externas
964;C23;CID C23;Neoplasias
965;M841;CID M841;Doenças do sistema osteomuscular
966;S080;CID S080;Lesões e causas externas
967;I848;CID I848;Doenças do aparelho circulatório
968;Q750;CID Q750;Malformações congênitas
969;C154;CID C154;Neoplasias
970;D472;CID D472;Neoplasias / Doenças do sangue
971;G060;CID G060;Doenças do sistema nervoso
972;N024;CID N024;Doenças do aparelho geniturinário
973;E136;CID E136;Doenças endócrinas e metabólicas
974;A498;CID A498;Doenças infecciosas e parasitárias
975;C55;CID C55;Neoplasias
976;N32;CID N32;Doenças do aparelho geniturinário
977;J181;CID J181;Doenças do aparelho respiratório
978;C839;CID C839;Neoplasias
979;N841;CID N841;Doenças do aparelho geniturinário
980;O331;CID O331;Gravidez, parto e puerpério
981;N398;CID N398;Doenças do aparelho geniturinário
982;Z32;CID Z32;Fatores que influenciam o estado de saúde
983;N368;CID N368;Doenças do aparelho geniturinário
984;S268;CID S268;Lesões e causas externas
985;M86;CID M86;Doenças do sistema osteomuscular
986;J955;CID J955;Doenças do aparelho respiratório
987;I730;CID I730;Doenças do aparelho circulatório
988;G40;CID G40;Doenças do sistema nervoso
989;S22;CID S22;Lesões e causas externas
990;C66;CID C66;Neoplasias
991;K30;CID K30;Doenças do aparelho digestivo
992;L024;CID L024;Doenças da pele
993;E46;CID E46;Doenças endócrinas e metabólicas
994;J989;CID J989;Doenças do aparelho respiratório
995;K811;CID K811;Doenças do aparelho digestivo
996;L010;CID L010;Doenças da pele
997;P399;CID P399;Afecções perinatais
998;S971;CID S971;Lesões e causas externas
999;S867;CID S867;Lesões e causas externas
1000;S521;CID S521;Lesões e causas externas
1001;I861;CID I861;Doenças do aparelho circulatório
1002;P53;CID P53;Afecções perinatais
1003;P703;CID P703;Afecções perinatais
1004;T821;CID T821;Lesões e causas externas
1005;O421;CID O421;Gravidez, parto e puerpério
1006;P285;CID P285;Afecções perinatais
1007;Q793;CID Q793;Malformações congênitas
1008;L088;CID L088;Doenças da pele
1009;A150;CID A150;Doenças infecciosas e parasitárias
1010;M511;CID M511;Doenças do sistema osteomuscular
1011;N324;CID N324;Doenças do aparelho geniturinário
1012;K047;CID K047;Doenças do aparelho digestivo
1013;S663;CID S663;Lesões e causas externas
1014;S978;CID S978;Lesões e causas externas
1015;M502;CID M502;Doenças do sistema osteomuscular
1016;M844;CID M844;Doenças do sistema osteomuscular
1017;I840;CID I840;Doenças do aparelho circulatório
1018;C670;CID C670;Neoplasias
1019;C770;CID C770;Neoplasias
1020;K431;CID K431;Doenças do aparelho digestivo
1021;T874;CID T874;Lesões e causas externas
1022;J959;CID J959;Doenças do aparelho respiratório
1023;L908;CID L908;Doenças da pele
1024;G418;CID G418;Doenças do sistema nervoso
1025;E798;CID E798;Doenças endócrinas e metabólicas
1026;S218;CID S218;Lesões e causas externas
1027;C917;CID C917;Neoplasias
1028;G628;CID G628;Doenças do sistema nervoso
1029;I213;CID I213;Doenças do aparelho circulatório
1030;C832;CID C832;Neoplasias
1031;C712;CID C712;Neoplasias
1032;L949;CID L949;Doenças da pele
1033;T751;CID T751;Lesões e causas externas
1034;D570;CID D570;Neoplasias / Doenças do sangue
1035;E888;CID E888;Doenças endócrinas e metabólicas
1036;N431;CID N431;Doenças do aparelho geniturinário
1037;S789;CID S789;Lesões e causas externas
1038;K42;CID K42;Doenças do aparelho digestivo
1039;E115;CID E115;Doenças endócrinas e metabólicas
1040;R522;CID R522;Sintomas e sinais anormais
1041;J03;CID J03;Doenças do aparelho respiratório
1042;G91;CID G91;Doenças do sistema nervoso
1043;N133;CID N133;Doenças do aparelho geniturinário
1044;J44;CID J44;Doenças do aparelho respiratório
1045;K739;CID K739;Doenças do aparelho digestivo
1046;T189;CID T189;Lesões e causas externas
1047;T181;CID T181;Lesões e causas externas
1048;D57;CID D57;Neoplasias / Doenças do sangue
1049;I270;CID I270;Doenças do aparelho circulatório
1050;I472;CID I472;Doenças do aparelho circulatório
1051;K803;CID K803;Doenças do aparelho digestivo
1052;J15;CID J15;Doenças do aparelho respiratório
1053;S660;CID S660;Lesões e causas externas
1054;S910;CID S910;Lesões e causas externas
1055;K750;CID K750;Doenças do aparelho digestivo
1056;O339;CID O339;Gravidez, parto e puerpério
1057;O61;CID O61;Gravidez, parto e puerpério
1058;O997;CID O997;Gravidez, parto e puerpério
1059;Q213;CID Q213;Malformações congênitas
1060;O618;CID O618;Gravidez, parto e puerpério
1061;Q532;CID Q532;Malformações congênitas
1062;T914;CID T914;Lesões e causas externas
1063;O233;CID O233;Gravidez, parto e puerpério
1064;I279;CID I279;Doenças do aparelho circulatório
1065;A879;CID A879;Doenças infecciosas e parasitárias
1066;N926;CID N926;Doenças do aparelho geniturinário
1067;D164;CID D164;Neoplasias / Doenças do sangue
1068;M842;CID M842;Doenças do sistema osteomuscular
1069;I607;CID I607;Doenças do aparelho circulatório
1070;E14;CID E14;Doenças endócrinas e metabólicas
1071;N111;CID N111;Doenças do aparelho geniturinário
1072;D50;CID D50;Neoplasias / Doenças do sangue
1073;R190;CID R190;Sintomas e sinais anormais
1074;T932;CID T932;Lesões e causas externas
1075;C030;CID C030;Neoplasias
1076;N218;CID N218;Doenças do aparelho geniturinário
1077;C159;CID C159;Neoplasias
1078;D252;CID D252;Neoplasias / Doenças do sangue
1079;K745;CID K745;Doenças do aparelho digestivo
1080;N340;CID N340;Doenças do aparelho geniturinário
1081;O325;CID O325;Gravidez, parto e puerpério
1082;O033;CID O033;Gravidez, parto e puerpério
1083;O150;CID O150;Gravidez, parto e puerpério
1084;F10;CID F10;Transtornos mentais e comportamentais
1085;F33;CID F33;Transtornos mentais e comportamentais
1086;N17;CID N17;Doenças do aparelho geniturinário
1087;D330;CID D330;Neoplasias / Doenças do sangue
1088;I208;CID I208;Doenças do aparelho circulatório
1089;I738;CID I738;Doenças do aparelho circulatório
1090;I878;CID I878;Doenças do aparelho circulatório
1091;S110;CID S110;Lesões e causas externas
1092;S922;CID S922;Lesões e causas externas
1093;Q668;CID Q668;Malformações congênitas
1094;N800;CID N800;Doenças do aparelho geniturinário
1095;M259;CID M259;Doenças do sistema osteomuscular
1096;S634;CID S634;Lesões e causas externas
1097;D392;CID D392;Neoplasias / Doenças do sangue
1098;S529;CID S529;Lesões e causas externas
1099;K430;CID K430;Doenças do aparelho digestivo
1100;R579;CID R579;Sintomas e sinais anormais
1101;L039;CID L039;Doenças da pele
1102;I880;CID I880;Doenças do aparelho circulatório
1103;H659;CID H659;Doenças dos olhos / ouvidos
1104;B575;CID B575;Doenças infecciosas e parasitárias
1105;O722;CID O722;Gravidez, parto e puerpério
1106;N735;CID N735;Doenças do aparelho geniturinário
1107;R13;CID R13;Sintomas e sinais anormais
1108;D180;CID D180;Neoplasias / Doenças do sangue
1109;D401;CID D401;Neoplasias / Doenças do sangue
1110;I351;CID I351;Doenças do aparelho circulatório
1111;M200;CID M200;Doenças do sistema osteomuscular
1112;G801;CID G801;Doenças do sistema nervoso
1113;T07;CID T07;Lesões e causas externas
1114;T797;CID T797;Lesões e causas externas
1115;S312;CID S312;Lesões e causas externas
1116;O225;CID O225;Gravidez, parto e puerpério
1117;P701;CID P701;Afecções perinatais
1118;O240;CID O240;Gravidez, parto e puerpério
1119;O458;CID O458;Gravidez, parto e puerpério
1120;N738;CID N738;Doenças do aparelho geniturinário
1121;J852;CID J852;Doenças do aparelho respiratório
1122;T293;CID T293;Lesões e causas externas
1123;Q211;CID Q211;Malformações congênitas
1124;I712;CID I712;Doenças do aparelho circulatório
1125;C25;CID C25;Neoplasias
1126;M84;CID M84;Doenças do sistema osteomuscular
1127;I499;CID I499;Doenças do aparelho circulatório
1128;A152;CID A152;Doenças infecciosas e parasitárias
1129;A308;CID A308;Doenças infecciosas e parasitárias
1130;K650;CID K650;Doenças do aparelho digestivo
1131;J942;CID J942;Doenças do aparelho respiratório
1132;S081;CID S081;Lesões e causas externas
1133;I616;CID I616;Doenças do aparelho circulatório
1134;I609;CID I609;Doenças do aparelho circulatório
1135;S127;CID S127;Lesões e causas externas
1136;K046;CID K046;Doenças do aparelho digestivo
1137;R568;CID R568;Sintomas e sinais anormais
1138;C716;CID C716;Neoplasias
1139;K744;CID K744;Doenças do aparelho digestivo
1140;A491;CID A491;Doenças infecciosas e parasitárias
1141;D571;CID D571;Neoplasias / Doenças do sangue
1142;A410;CID A410;Doenças infecciosas e parasitárias
1143;G958;CID G958;Doenças do sistema nervoso
1144;A803;CID A803;Doenças infecciosas e parasitárias
1145;T116;CID T116;Lesões e causas externas
1146;M258;CID M258;Doenças do sistema osteomuscular
1147;T925;CID T925;Lesões e causas externas
1148;T212;CID T212;Lesões e causas externas
1149;K678;CID K678;Doenças do aparelho digestivo
1150;G20;CID G20;Doenças do sistema nervoso
1151;S202;CID S202;Lesões e causas externas
1152;T180;CID T180;Lesões e causas externas
1153;C249;CID C249;Neoplasias
1154;D598;CID D598;Neoplasias / Doenças do sangue
1155;N139;CID N139;Doenças do aparelho geniturinário
1156;E871;CID E871;Doenças endócrinas e metabólicas
1157;L028;CID L028;Doenças da pele
1158;S633;CID S633;Lesões e causas externas
1159;S682;CID S682;Lesões e causas externas
1160;T024;CID T024;Lesões e causas externas
1161;F208;CID F208;Transtornos mentais e comportamentais
1162;L94;CID L94;Doenças da pele
1163;B02;CID B02;Doenças infecciosas e parasitárias
1164;A010;CID A010;Doenças infecciosas e parasitárias
1165;A16;CID A16;Doenças infecciosas e parasitárias
1166;I459;CID I459;Doenças do aparelho circulatório
1167;S270;CID S270;Lesões e causas externas
1168;N819;CID N819;Doenças do aparelho geniturinário
1169;G408;CID G408;Doenças do sistema nervoso
1170;A87;CID A87;Doenças infecciosas e parasitárias
1171;D320;CID D320;Neoplasias / Doenças do sangue
1172;G708;CID G708;Doenças do sistema nervoso
1173;K910;CID K910;Doenças do aparelho digestivo
1174;O039;CID O039;Gravidez, parto e puerpério
1175;O053;CID O053;Gravidez, parto e puerpério
1176;N709;CID N709;Doenças do aparelho geniturinário
1177;O471;CID O471;Gravidez, parto e puerpério
1178;O348;CID O348;Gravidez, parto e puerpério
1179;K351;CID K351;Doenças do aparelho digestivo
1180;M109;CID M109;Doenças do sistema osteomuscular
1181;S221;CID S221;Lesões e causas externas
1182;S810;CID S810;Lesões e causas externas
1183;I603;CID I603;Doenças do aparelho circulatório
1184;D352;CID D352;Neoplasias / Doenças do sangue
1185;C163;CID C163;Neoplasias
1186;I601;CID I601;Doenças do aparelho circulatório
1187;Q400;CID Q400;Malformações congênitas
1188;T922;CID T922;Lesões e causas externas
1189;M54;CID M54;Doenças do sistema osteomuscular
1190;C924;CID C924;Neoplasias
1191;J069;CID J069;Doenças do aparelho respiratório
1192;K709;CID K709;Doenças do aparelho digestivo
1193;T811;CID T811;Lesões e causas externas
1194;F062;CID F062;Transtornos mentais e comportamentais
1195;F71;CID F71;Transtornos mentais e comportamentais
1196;F349;CID F349;Transtornos mentais e comportamentais
1197;O11;CID O11;Gravidez, parto e puerpério
1198;J439;CID J439;Doenças do aparelho respiratório
1199;T875;CID T875;Lesões e causas externas
1200;G500;CID G500;Doenças do sistema nervoso
1201;M966;CID M966;Doenças do sistema osteomuscular
1202;I84;CID I84;Doenças do aparelho circulatório
1203;C11;CID C11;Neoplasias
1204;S92;CID S92;Lesões e causas externas
1205;L022;CID L022;Doenças da pele
1206;K41;CID K41;Doenças do aparelho digestivo
1207;K63;CID K63;Doenças do aparelho digestivo
1208;L05;CID L05;Doenças da pele
1209;S031;CID S031;Lesões e causas externas
1210;D618;CID D618;Neoplasias / Doenças do sangue
1211;T849;CID T849;Lesões e causas externas
1212;J458;CID J458;Doenças do aparelho respiratório
1213;Q669;CID Q669;Malformações congênitas
1214;M813;CID M813;Doenças do sistema osteomuscular
1215;C969;CID C969;Neoplasias
1216;S357;CID S357;Lesões e causas externas
1217;C920;CID C920;Neoplasias
1218;D613;CID D613;Neoplasias / Doenças do sangue
1219;I608;CID I608;Doenças do aparelho circulatório
1220;C492;CID C492;Neoplasias
1221;H46;CID H46;Doenças dos olhos / ouvidos
1222;C403;CID C403;Neoplasias
1223;F195;CID F195;Transtornos mentais e comportamentais
1224;F333;CID F333;Transtornos mentais e comportamentais
1225;B559;CID B559;Doenças infecciosas e parasitárias
1226;J386;CID J386;Doenças do aparelho respiratório
1227;I719;CID I719;Doenças do aparelho circulatório
